Column 1,Column 2,Column 3,Column 4
MSFT,Last$414.57,Chg2.25,Open
AMZN,Last$189.42,Chg-0.08,Open
YUMC,Last$37.88,Chg-0.22,Open
HK:1299,LastHK$64.20,Chg1.40,
DK:NOVO.B,Lastkr.883.20,Chg0.60,
RUN,Last$12.28,Chg-0.14,Open
ADBE,Last$487.11,Chg4.46,Open
GOOG,Last$169.58,Chg-2.00,Open
ZTO,Last$21.02,Chg0.01,Open
TPIC,Last$3.85,Chg-0.02,Open
JP:6370,"Last¥6,748",Chg508,
U,Last$23.77,Chg-0.40,Open
JP:9434,"Last¥1,953",Chg70,
FR:KER,Last€334.25,Chg1.00,Open
XE:SY1,Last€101.65,Chg-1.80,Open
HASI,Last$32.37,Chg-0.20,Open
DK:VWS,Lastkr.191.05,Chg3.75,
FI,Last$154.85,Chg0.18,Open
ABT,Last$104.78,Chg0.10,Open
EA,Last$126.61,Chg-0.51,Open
HK:388,LastHK$285.80,Chg20.20,
ISRG,Last$388.04,Chg2.59,Open
NVDA,Last$913.38,Chg25.91,Open
ES:IBE,Last€12.22,Chg0.22,Open
ECL,Last$234.00,Chg0.42,Open
MA,Last$457.51,Chg2.01,Open
XYL,Last$143.14,Chg0.53,Open
EQIX,Last$776.13,Chg3.70,Open
CH:ABBN,LastCHF47.14,Chg0.56,Open
ENS,Last$96.80,Chg0.34,Open
DIS,Last$106.01,Chg0.21,Open
FR:DSY,Last€38.26,Chg0.18,Open
XE:G24,Last€71.34,Chg-0.20,Open
PYPL,Last$64.42,Chg-0.04,Open
BKNG,"Last$3,792.20",Chg12.17,Open
TSM,Last$148.58,Chg5.79,Open
NL:ASML,Last€863.00,Chg15.10,Open
ADSK,Last$219.34,Chg0.70,Open
DAR,Last$45.43,Chg-0.57,Open
CSCO,Last$47.81,Chg0.02,Open
TER,Last$123.57,Chg0.95,Open
SYK,Last$332.31,Chg1.45,Open
XE:SIX2,Last€80.15,Chg1.05,Open
ILMN,Last$111.60,Chg0.25,Open
